Data,Parcela,Treatment,time_last_fire,alt_sensor,temperature_threshold,tempo_sec
julho_2015,5,quadrienal,4,aboveground,above_60,96
julho_2015,15,quadrienal,4,aboveground,above_60,110
julho_2015,15,quadrienal,4,aboveground,above_60,124
julho_2015,15,quadrienal,4,aboveground,above_60,250
julho_2015,21,quadrienal,4,aboveground,above_60,132
julho_2015,21,quadrienal,4,aboveground,above_60,122
julho_2015,7,quadrienal,4,aboveground,above_100,114
julho_2015,7,quadrienal,4,aboveground,above_100,86
julho_2015,7,quadrienal,4,aboveground,above_100,174
julho_2015,5,quadrienal,4,aboveground,above_100,60
julho_2015,5,quadrienal,4,aboveground,above_100,100
julho_2015,5,quadrienal,4,aboveground,above_100,70
julho_2015,15,quadrienal,4,aboveground,above_100,80
julho_2015,15,quadrienal,4,aboveground,above_100,92
julho_2015,15,quadrienal,4,aboveground,above_100,92
julho_2015,21,quadrienal,4,aboveground,above_100,102
julho_2015,21,quadrienal,4,aboveground,above_100,96
julho_2015,21,quadrienal,4,aboveground,above_100,0
